date,ad_group_id,device,impressions,clicks,conversions,cost
2024-09-17,168997303571,MOBILE,107,0,0,0.316826
2024-09-17,155673249556,MOBILE,3,0,0,0
2024-09-17,155673249556,DESKTOP,2,0,0,0
2024-09-17,155673250956,DESKTOP,4,0,0,0
2024-09-17,164828025000,MOBILE,1,0,0,0
2024-09-17,164135120558,DESKTOP,25,0,0,0.021199
2024-09-17,155673249996,MOBILE,1,0,0,0
2024-09-17,169214802704,MOBILE,4,1,0,2.82
2024-09-17,169214802704,DESKTOP,7,1,0,5.27
2024-09-17,155673250956,MOBILE,14,1,0,2.46
2024-09-17,148575862984,DESKTOP,20,1,0,6.04
2024-09-17,148575862984,MOBILE,14,2,0,2.86
2024-09-17,164135120558,MOBILE,114,3,0,0.45459
2024-09-17,168997303571,DESKTOP,7,4,0,0.355248
2024-09-16,168997303571,MOBILE,18,0,0,0.073853
2024-09-16,168997303571,DESKTOP,30,0,0,0.01097
2024-09-16,155673249556,MOBILE,18,0,0,0
2024-09-16,155673250956,TABLET,8,0,0,0
2024-09-16,164828025000,MOBILE,6,0,0,0
2024-09-16,164135120558,DESKTOP,372,0,0,0.867923
2024-09-16,155673249996,MOBILE,9,0,0,0
2024-09-16,155673249556,DESKTOP,40,1,0,2.27
2024-09-16,164828025000,DESKTOP,21,1,0,3.69
2024-09-16,155673249996,DESKTOP,11,1,0,2.37
2024-09-16,169214802704,MOBILE,22,2,0,11.174841
2024-09-16,155673250956,DESKTOP,104,2,0,1.72
2024-09-16,148575862984,TABLET,9,2,0,1.39
2024-09-16,169214802704,DESKTOP,49,3,1,24.61
2024-09-16,168997303571,DESKTOP,3794,3,0,12.599021
2024-09-16,155673250956,MOBILE,80,5,1.5,5.756097
2024-09-16,148575862984,DESKTOP,335,22,6,57.431465
2024-09-16,148575862984,MOBILE,220,24,2.5,37.949188
2024-09-16,164135120558,MOBILE,5978,51,0,31.741103
2024-09-16,168997303571,MOBILE,26256,184,1,60.405847
2024-09-15,169214802704,MOBILE,18,0,0,0
2024-09-15,168997303571,DESKTOP,3,0,0,0.002851
2024-09-15,155673249556,TABLET,1,0,0,0
2024-09-15,155673249556,MOBILE,20,0,0,0
2024-09-15,155673250956,TABLET,5,0,0,0
2024-09-15,164828025000,DESKTOP,3,0,0,0
2024-09-15,164135120558,DESKTOP,264,0,0,0.815591
2024-09-15,155673249996,DESKTOP,13,0,0,0
2024-09-15,164828025000,MOBILE,10,1,0,0.88
2024-09-15,148575862984,TABLET,5,1,0,1.93
2024-09-15,155673249556,DESKTOP,32,2,0,3.46
2024-09-15,155673250956,DESKTOP,81,3,0,4.78
2024-09-15,169214802704,DESKTOP,22,4,0,26.5
2024-09-15,168997303571,DESKTOP,2919,4,0.913156,9.57381
2024-09-15,155673249996,MOBILE,20,4,0,7.74
2024-09-15,155673250956,MOBILE,112,9,1,10.02
2024-09-15,148575862984,DESKTOP,184,11,0,41.433348
2024-09-15,148575862984,MOBILE,289,30,5.69763,54.191416
2024-09-15,164135120558,MOBILE,5279,43,3,26.904448
2024-09-15,168997303571,MOBILE,37836,169,8.931769,65.967072
2024-09-14,169214802704,MOBILE,6,0,0,0
2024-09-14,155673249556,MOBILE,43,0,0,0
2024-09-14,155673249556,TABLET,3,0,0,0
2024-09-14,155673250956,TABLET,7,0,0,0
2024-09-14,164828025000,DESKTOP,3,0,0,0
2024-09-14,164828025000,MOBILE,1,0,0,0
2024-09-14,164135120558,DESKTOP,312,0,0,0.94241
2024-09-14,169214802704,DESKTOP,23,1,0,22.33
2024-09-14,148575862984,TABLET,13,1,0,2.23
2024-09-14,155673249996,DESKTOP,18,1,0,1
2024-09-14,155673249996,MOBILE,25,1,0,2.67
2024-09-14,155673249556,DESKTOP,42,5,0,9.09
2024-09-14,155673250956,MOBILE,198,6,4,8.67
2024-09-14,155673250956,DESKTOP,133,7,0,27.55
2024-09-14,148575862984,DESKTOP,241,8,3,35.018648
2024-09-14,168997303571,DESKTOP,8357,14,3,19.158083
2024-09-14,148575862984,MOBILE,293,27,2,63.644089
2024-09-14,164135120558,MOBILE,3891,44,5,21.302226
2024-09-14,168997303571,MOBILE,28103,188,12.570343,61.937249
2024-09-13,155673249556,MOBILE,25,0,0,0
2024-09-13,155673249556,TABLET,1,0,0,0
2024-09-13,155673250956,TABLET,6,0,0,0
2024-09-13,164828025000,MOBILE,2,0,0,0
2024-09-13,164135120558,DESKTOP,247,0,0,2.170295
2024-09-13,164135120558,MOBILE,1,0,0,0.080675
2024-09-13,148575862984,TABLET,8,0,0,0
2024-09-13,169214802704,MOBILE,7,1,0,4.18
2024-09-13,155673249556,DESKTOP,38,1,3,1.69
2024-09-13,164828025000,DESKTOP,8,1,0,11.16
2024-09-13,155673249996,DESKTOP,20,1,0,1.51
2024-09-13,169214802704,DESKTOP,20,2,0,14.62
2024-09-13,155673250956,DESKTOP,104,2,0,7.33
2024-09-13,155673249996,MOBILE,22,2,0,1.61
2024-09-13,168997303571,DESKTOP,1665,3,0.110704,5.933521
2024-09-13,155673250956,MOBILE,118,4,0,7.53
2024-09-13,148575862984,MOBILE,208,16,1,26.9
2024-09-13,148575862984,DESKTOP,270,18,0,70.732125
2024-09-13,164135120558,MOBILE,4274,32,0,22.714686
2024-09-13,168997303571,MOBILE,33198,182,0,68.791613
2024-09-12,155673249556,MOBILE,16,0,0,0
2024-09-12,155673250956,TABLET,1,0,0,0
2024-09-12,164828025000,DESKTOP,21,0,0,0
2024-09-12,164135120558,MOBILE,1,0,0,0.002048
2024-09-12,148575862984,TABLET,3,0,0,0
2024-09-12,155673249556,DESKTOP,19,1,0,1.65
2024-09-12,164828025000,MOBILE,4,1,0,3.92
2024-09-12,164135120558,DESKTOP,466,1,0,1.133299
2024-09-12,155673249996,TABLET,2,1,0,1.39
2024-09-12,155673249996,MOBILE,18,1,0,1.21
2024-09-12,169214802704,DESKTOP,43,2,4,18.98
2024-09-12,169214802704,MOBILE,17,2,0,6.3
2024-09-12,155673250956,DESKTOP,62,2,0,2.42
2024-09-12,168997303571,DESKTOP,1157,3,0,4.808726
2024-09-12,155673249996,DESKTOP,24,3,1,10.6
2024-09-12,155673250956,MOBILE,69,7,0,10.785952
2024-09-12,148575862984,DESKTOP,316,17,0,57.07234
2024-09-12,148575862984,MOBILE,249,27,1.280346,53.084829
2024-09-12,164135120558,MOBILE,5385,50,1,38.138075
2024-09-12,168997303571,MOBILE,22574,137,4.85704,64.037298
2024-09-11,155673249556,TABLET,2,0,0,0
2024-09-11,155673249556,MOBILE,17,0,0,0
2024-09-11,155673250956,TABLET,3,0,0,0
2024-09-11,164828025000,DESKTOP,14,0,0,0
2024-09-11,164828025000,MOBILE,6,0,0,0
2024-09-11,164135120558,MOBILE,1,0,0,0.008556
